subject,rt,Happy,Calm,Sad,AngryStressful,Familiar,title,Condition,Track_ID,X1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,listMeds,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76
1,25444,8,6,1,1,3,dancinInTheMoonlightC,Lyrics,3,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,19849,3,8,2,1,1,iWishYouLove,Melody,28,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,19147,7,7,4,1,2,bambi,Melody,24,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,21237,3,8,3,1,2,goognightMoon,Lyrics,9,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,15275,8,8,4,1,1,silentMoon,Melody,26,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,51021,4,8,9,1,6,dream,Lyrics,11,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,14538,8,3,6,1,6,onMusic,Lyrics,1,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,22030,2,1,3,7,1,owlAPussyCat,Melody,18,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,13677,2,7,9,1,3,everyTimeWeSayGoodbye,Lyrics,7,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,24225,8,3,3,2,1,willowSong,Melody,22,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,13535,1,1,8,9,6,toThisWeveCome,Lyrics,13,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,15538,2,2,7,7,2,theCage,Melody,30,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
1,17386,9,1,4,8,6,noMoreMissNice,Melody,32,1,55,57,47,45,39,117,7,4,3,6,2,6,5,6,7,6,7,7,3,6,5,8,6,2,5,6,2,5,6,2,5,6,Clarinet,19,FEMALE,1,NA,7,5,7,7,5,7,7,3,7,6,6,6,7,7,7,7,6,5,7,7,7,6,7,6,7,7,7,6,6,5,7,7,6,7,6,6,7,7
