"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":8593},{""page_index"":1,""viewing_time"":28084}]","36678","instructions","0","36688","0.0-0.0","001","","",""
"","32697","audio-button-response","1","69392","0.0-1.0","001","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":21238}]","21240","instructions","2","90635","0.0-2.0","001","","",""
"","null","audio-button-response","3","126379","0.0-3.0-0.0","001","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","25444","survey-likert","4","151830","0.0-3.0-1.0","001","","","{""Q0"":7,""Q1"":5,""Q2"":0,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","5","180121","0.0-3.0-0.1","001","sound/iWishYouLove_Melody_28.mp3","null",""
"","19849","survey-likert","6","199976","0.0-3.0-1.1","001","","","{""Q0"":2,""Q1"":7,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","7","237255","0.0-3.0-0.2","001","sound/bambi_Melody_24.mp3","null",""
"","19147","survey-likert","8","256407","0.0-3.0-1.2","001","","","{""Q0"":6,""Q1"":6,""Q2"":3,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","9","290615","0.0-3.0-0.3","001","sound/goognightMoon_Lyrics_09.mp3","null",""
"","21237","survey-likert","10","311856","0.0-3.0-1.3","001","","","{""Q0"":2,""Q1"":7,""Q2"":2,""Q3"":0,""Q4"":1}"
"","null","audio-button-response","11","349086","0.0-3.0-0.4","001","sound/silentMoon_Melody_26.mp3","null",""
"","15275","survey-likert","12","364367","0.0-3.0-1.4","001","","","{""Q0"":7,""Q1"":7,""Q2"":3,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","13","401596","0.0-3.0-0.5","001","sound/dream_Lyrics_11.mp3","null",""
"","51021","survey-likert","14","452619","0.0-3.0-1.5","001","","","{""Q0"":3,""Q1"":7,""Q2"":8,""Q3"":0,""Q4"":5}"
"","null","audio-button-response","15","483939","0.0-3.0-0.6","001","sound/onMusic_Lyrics_01.mp3","null",""
"","14538","survey-likert","16","498480","0.0-3.0-1.6","001","","","{""Q0"":7,""Q1"":2,""Q2"":5,""Q3"":0,""Q4"":5}"
"","null","audio-button-response","17","531246","0.0-3.0-0.7","001","sound/owlAPussyCat_Melody_18.mp3","null",""
"","22030","survey-likert","18","553280","0.0-3.0-1.7","001","","","{""Q0"":1,""Q1"":0,""Q2"":2,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","19","587537","0.0-3.0-0.8","001","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","13677","survey-likert","20","601216","0.0-3.0-1.8","001","","","{""Q0"":1,""Q1"":6,""Q2"":8,""Q3"":0,""Q4"":2}"
"","null","audio-button-response","21","635682","0.0-3.0-0.9","001","sound/willowSong_Melody_22.mp3","null",""
"","24225","survey-likert","22","659912","0.0-3.0-1.9","001","","","{""Q0"":7,""Q1"":2,""Q2"":2,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","23","695662","0.0-3.0-0.10","001","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","13535","survey-likert","24","709201","0.0-3.0-1.10","001","","","{""Q0"":0,""Q1"":0,""Q2"":7,""Q3"":8,""Q4"":5}"
"","null","audio-button-response","25","743644","0.0-3.0-0.11","001","sound/theCage_Melody_30.mp3","null",""
"","15538","survey-likert","26","759232","0.0-3.0-1.11","001","","","{""Q0"":1,""Q1"":1,""Q2"":6,""Q3"":6,""Q4"":1}"
"","null","audio-button-response","27","790748","0.0-3.0-0.12","001","sound/noMoreMissNice_Melody_32.mp3","null",""
"","17386","survey-likert","28","808138","0.0-3.0-1.12","001","","","{""Q0"":8,""Q1"":0,""Q2"":3,""Q3"":7,""Q4"":5}"
"","null","audio-button-response","29","845370","0.0-3.0-0.13","001","sound/takeYouAb_Melody_20.mp3","null",""
"","12758","survey-likert","30","858130","0.0-3.0-1.13","001","","","{""Q0"":7,""Q1"":6,""Q2"":5,""Q3"":6,""Q4"":5}"
"","null","audio-button-response","31","889403","0.0-3.0-0.14","001","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","12407","survey-likert","32","901813","0.0-3.0-1.14","001","","","{""Q0"":0,""Q1"":8,""Q2"":8,""Q3"":5,""Q4"":1}"
"","null","audio-button-response","33","939046","0.0-4.0-0.0","001","sound/bambi_Lyrics_08.mp3","null",""
"","24218","survey-likert","34","963268","0.0-4.0-1.0","001","","","{""Q0"":6,""Q1"":7,""Q2"":8,""Q3"":6,""Q4"":8}"
"","null","audio-button-response","35","994538","0.0-4.0-0.1","001","sound/onMusic_Melody_17.mp3","null",""
"","15847","survey-likert","36","1010388","0.0-4.0-1.1","001","","","{""Q0"":2,""Q1"":6,""Q2"":7,""Q3"":1,""Q4"":8}"
"","null","audio-button-response","37","1049126","0.0-4.0-0.2","001","sound/thatsAll_Lyrics_15.mp3","null",""
