"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus","button_pressed","responses"
"[{""page_index"":0,""viewing_time"":46999},{""page_index"":1,""viewing_time"":4448}]","51448","instructions","0","51454","0.0-0.0","085","","",""
"","5869","audio-button-response","1","57325","0.0-1.0","085","sound/soundcheck.mp3","0",""
"[{""page_index"":0,""viewing_time"":30687}]","30687","instructions","2","88013","0.0-2.0","085","","",""
"","null","audio-button-response","3","119650","0.0-3.0-0.0","085","sound/noMoreMissNice_Melody_32.mp3","null",""
"","21966","survey-likert","4","141618","0.0-3.0-1.0","085","","","{""Q0"":7,""Q1"":7,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","5","178948","0.0-3.0-0.1","085","sound/takeYouAb_Melody_20.mp3","null",""
"","18488","survey-likert","6","197438","0.0-3.0-1.1","085","","","{""Q0"":8,""Q1"":6,""Q2"":0,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","7","231989","0.0-3.0-0.2","085","sound/theCage_Melody_30.mp3","null",""
"","20048","survey-likert","8","252039","0.0-3.0-1.2","085","","","{""Q0"":0,""Q1"":3,""Q2"":6,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","9","286399","0.0-3.0-0.3","085","sound/everyTimeWeSayGoodbye_Lyrics_07.mp3","null",""
"","16055","survey-likert","10","302455","0.0-3.0-1.3","085","","","{""Q0"":0,""Q1"":7,""Q2"":7,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","11","335369","0.0-3.0-0.4","085","sound/owlAPussyCat_Melody_18.mp3","null",""
"","16780","survey-likert","12","352150","0.0-3.0-1.4","085","","","{""Q0"":0,""Q1"":1,""Q2"":7,""Q3"":6,""Q4"":0}"
"","null","audio-button-response","13","389503","0.0-3.0-0.5","085","sound/bambi_Melody_24.mp3","null",""
"","22138","survey-likert","14","411646","0.0-3.0-1.5","085","","","{""Q0"":5,""Q1"":8,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","15","446209","0.0-3.0-0.6","085","sound/willowSong_Melody_22.mp3","null",""
"","21733","survey-likert","16","467942","0.0-3.0-1.6","085","","","{""Q0"":3,""Q1"":4,""Q2"":6,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","17","503808","0.0-3.0-0.7","085","sound/dancinInTheMoonlightC_Lyrics_03.mp3","null",""
"","15790","survey-likert","18","519600","0.0-3.0-1.7","085","","","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","19","550978","0.0-3.0-0.8","085","sound/theCrucifixion_Lyrics_05.mp3","null",""
"","22844","survey-likert","20","573823","0.0-3.0-1.8","085","","","{""Q0"":0,""Q1"":6,""Q2"":8,""Q3"":1,""Q4"":0}"
"","null","audio-button-response","21","602238","0.0-3.0-0.9","085","sound/iWishYouLove_Melody_28.mp3","null",""
"","18742","survey-likert","22","620981","0.0-3.0-1.9","085","","","{""Q0"":1,""Q1"":8,""Q2"":7,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","23","658308","0.0-3.0-0.10","085","sound/silentMoon_Melody_26.mp3","null",""
"","17010","survey-likert","24","675319","0.0-3.0-1.10","085","","","{""Q0"":2,""Q1"":7,""Q2"":3,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","25","712678","0.0-3.0-0.11","085","sound/dream_Lyrics_11.mp3","null",""
"","18831","survey-likert","26","731511","0.0-3.0-1.11","085","","","{""Q0"":6,""Q1"":8,""Q2"":5,""Q3"":0,""Q4"":8}"
"","null","audio-button-response","27","767368","0.0-3.0-0.12","085","sound/toThisWeveCome_Lyrics_13.mp3","null",""
"","19092","survey-likert","28","786461","0.0-3.0-1.12","085","","","{""Q0"":0,""Q1"":0,""Q2"":7,""Q3"":8,""Q4"":0}"
"","null","audio-button-response","29","820789","0.0-3.0-0.13","085","sound/goognightMoon_Lyrics_09.mp3","null",""
"","20799","survey-likert","30","841589","0.0-3.0-1.13","085","","","{""Q0"":1,""Q1"":8,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","31","872968","0.0-3.0-0.14","085","sound/onMusic_Lyrics_01.mp3","null",""
"","21964","survey-likert","32","894934","0.0-3.0-1.14","085","","","{""Q0"":1,""Q1"":5,""Q2"":2,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","33","932268","0.0-4.0-0.0","085","sound/takeYouAb_Lyrics_04.mp3","null",""
"","14281","survey-likert","34","946549","0.0-4.0-1.0","085","","","{""Q0"":7,""Q1"":7,""Q2"":0,""Q3"":0,""Q4"":6}"
"","null","audio-button-response","35","983898","0.0-4.0-0.1","085","sound/silentMoon_Lyrics_10.mp3","null",""
"","17763","survey-likert","36","1001662","0.0-4.0-1.1","085","","","{""Q0"":4,""Q1"":3,""Q2"":1,""Q3"":0,""Q4"":0}"
"","null","audio-button-response","37","1034568","0.0-4.0-0.2","085","sound/owlAPussyCat_Lyrics_02.mp3","null",""
"","13772","survey-likert","38","1048342","0.0-4.0-1.2","085","","","{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":7,""Q4"":0}"
"","null","audio-button-response","39","1079738","0.0-4.0-0.3","085","sound/onMusic_Melody_17.mp3","null",""
"","12883","survey-likert","40","1092622","0.0-4.0-1.3","085","","","{""Q0"":0,""Q1"":8,""Q2"":5,""Q3"":0,""Q4"":0}"
