"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"23126","32","text","0","23129","0.0-0.0","001",""
"6796","32","text","1","30932","0.0-1.0","001",""
"8344","32","text","2","40287","0.0-2.0","001",""
"52993","","survey-likert","3","94308","0.0-3.0","001","{""Q0"":""6"",""Q1"":""5"",""Q2"":""4"",""Q3"":""6"",""Q4"":""5"",""Q5"":""5"",""Q6"":""6"",""Q7"":""6"",""Q8"":""0"",""Q9"":""5""}"
"46969","","survey-likert","4","142313","0.0-4.0","001","{""Q0"":""1"",""Q1"":""6"",""Q2"":""0"",""Q3"":""0"",""Q4"":""6"",""Q5"":""5"",""Q6"":""1"",""Q7"":""6"",""Q8"":""5"",""Q9"":""6""}"
"46818","","survey-likert","5","190171","0.0-5.0","001","{""Q0"":""2"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""2"",""Q5"":""4"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6"",""Q10"":""6""}"
"58275","","survey-likert","6","249519","0.0-6.0","001","{""Q0"":""6"",""Q1"":""5"",""Q2"":""2"",""Q3"":""6"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6""}"
"8631","","survey-text","7","259169","0.0-7.0","001","{""Q0"":""Clarinet""}"
"5905","32","text","8","266084","0.0-8.0","001",""
"39926","","survey-likert","9","307033","0.0-9.0","001","{""Q0"":""6"",""Q1"":""3"",""Q2"":""2"",""Q3"":""5"",""Q4"":""1"",""Q5"":""5"",""Q6"":""4"",""Q7"":""5"",""Q8"":""6"",""Q9"":""5"",""Q10"":""6"",""Q11"":""6"",""Q12"":""2"",""Q13"":""5""}"
"67602","","survey-likert","10","375650","0.0-10.0","001","{""Q0"":""4"",""Q1"":""5"",""Q2"":""7""}"
"61468","","survey-likert","11","438132","0.0-11.0","001","{""Q0"":""1"",""Q1"":""4"",""Q2"":""5"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""1"",""Q7"":""4"",""Q8"":""5""}"
"15118","","survey-text","12","454270","0.0-12.0","001","{""Q0"":""19"",""Q1"":""FEMALE""}"
"3690","","survey-likert","13","458965","0.0-13.0","001","{""Q0"":""1""}"
"14634","","survey-text","14","474607","0.0-14.0","001","{""Q0"":""""}"
"17512","32","text","15","493165","0.0-15.0","001",""
