rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,responses
6250,32,text,0,6252,0.0-0.0,38,
3953,32,text,1,11219,0.0-1.0,38,
5413,32,text,2,17636,0.0-2.0,38,
68945,,survey-likert,3,87613,0.0-3.0,38,"{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""3"",""Q4"":""5"",""Q5"":""4"",""Q6"":""3"",""Q7"":""1"",""Q8"":""2"",""Q9"":""0""}"
61093,,survey-likert,4,149737,0.0-4.0,38,"{""Q0"":""3"",""Q1"":""0"",""Q2"":""1"",""Q3"":""2"",""Q4"":""5"",""Q5"":""6"",""Q6"":""3"",""Q7"":""4"",""Q8"":""2"",""Q9"":""4""}"
49754,,survey-likert,5,200505,0.0-5.0,38,"{""Q0"":""0"",""Q1"":""4"",""Q2"":""3"",""Q3"":""4"",""Q4"":""6"",""Q5"":""3"",""Q6"":""5"",""Q7"":""3"",""Q8"":""0"",""Q9"":""0"",""Q10"":""6""}"
36698,,survey-likert,6,238224,0.0-6.0,38,"{""Q0"":""5"",""Q1"":""2"",""Q2"":""2"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""6""}"
25204,,survey-text,7,264445,0.0-7.0,38,"{""Q0"":""bangos""}"
4310,32,text,8,269758,0.0-8.0,38,
40731,,survey-likert,9,311517,0.0-9.0,38,"{""Q0"":""5"",""Q1"":""5"",""Q2"":""0"",""Q3"":""5"",""Q4"":""0"",""Q5"":""6"",""Q6"":""5"",""Q7"":""6"",""Q8"":""5"",""Q9"":""5"",""Q10"":""4"",""Q11"":""6"",""Q12"":""0"",""Q13"":""6""}"
15103,,survey-likert,10,327634,0.0-10.0,38,"{""Q0"":""1"",""Q1"":""1"",""Q2"":""0""}"
32622,,survey-likert,11,361269,0.0-11.0,38,"{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
10965,,survey-text,12,373242,0.0-12.0,38,"{""Q0"":""21"",""Q1"":""FEMALE""}"
4035,,survey-likert,13,378288,0.0-13.0,38,"{""Q0"":""1""}"
3444,,survey-text,14,382739,0.0-14.0,38,"{""Q0"":""""}"
4791,32,text,15,388538,0.0-15.0,38,
