"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"8376","32","text","0","8378","0.0-0.0","055",""
"6419","32","text","1","15804","0.0-1.0","055",""
"6101","70","text","2","22908","0.0-2.0","055",""
"52221","","survey-likert","3","76139","0.0-3.0","055","{""Q0"":""4"",""Q1"":""5"",""Q2"":""0"",""Q3"":""0"",""Q4"":""4"",""Q5"":""4"",""Q6"":""2"",""Q7"":""4"",""Q8"":""1"",""Q9"":""4""}"
"58823","","survey-likert","4","135975","0.0-4.0","055","{""Q0"":""1"",""Q1"":""4"",""Q2"":""0"",""Q3"":""4"",""Q4"":""4"",""Q5"":""5"",""Q6"":""2"",""Q7"":""4"",""Q8"":""2"",""Q9"":""3""}"
"52893","","survey-likert","5","189879","0.0-5.0","055","{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""5"",""Q4"":""6"",""Q5"":""4"",""Q6"":""6"",""Q7"":""5"",""Q8"":""4"",""Q9"":""0"",""Q10"":""5""}"
"30976","","survey-likert","6","221863","0.0-6.0","055","{""Q0"":""0"",""Q1"":""0"",""Q2"":""4"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""3""}"
"10440","","survey-text","7","233310","0.0-7.0","055","{""Q0"":""voice""}"
"3508","68","text","8","237822","0.0-8.0","055",""
"43027","","survey-likert","9","281855","0.0-9.0","055","{""Q0"":""2"",""Q1"":""1"",""Q2"":""0"",""Q3"":""2"",""Q4"":""3"",""Q5"":""4"",""Q6"":""3"",""Q7"":""0"",""Q8"":""6"",""Q9"":""2"",""Q10"":""6"",""Q11"":""2"",""Q12"":""3"",""Q13"":""1""}"
"14583","","survey-likert","10","297447","0.0-10.0","055","{""Q0"":""2"",""Q1"":""1"",""Q2"":""1""}"
"32380","","survey-likert","11","330838","0.0-11.0","055","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"10154","","survey-text","12","341998","0.0-12.0","055","{""Q0"":""20"",""Q1"":""FEMALE""}"
"4908","","survey-likert","13","347909","0.0-13.0","055","{""Q0"":""0""}"
"9355","","survey-text","14","358285","0.0-14.0","055","{""Q0"":""lamotragine""}"
"17799","32","text","15","377086","0.0-15.0","055",""
