"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"8626","32","text","0","8628","0.0-0.0","068",""
"9798","78","text","1","19448","0.0-1.0","068",""
"11612","78","text","2","32072","0.0-2.0","068",""
"79167","","survey-likert","3","112268","0.0-3.0","068","{""Q0"":""6"",""Q1"":""6"",""Q2"":""0"",""Q3"":""3"",""Q4"":""5"",""Q5"":""6"",""Q6"":""3"",""Q7"":""4"",""Q8"":""0"",""Q9"":""4""}"
"70571","","survey-likert","4","183865","0.0-4.0","068","{""Q0"":""4"",""Q1"":""2"",""Q2"":""6"",""Q3"":""0"",""Q4"":""0"",""Q5"":""6"",""Q6"":""1"",""Q7"":""6"",""Q8"":""3"",""Q9"":""5""}"
"66072","","survey-likert","5","250960","0.0-5.0","068","{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""5"",""Q4"":""4"",""Q5"":""3"",""Q6"":""6"",""Q7"":""3"",""Q8"":""5"",""Q9"":""3"",""Q10"":""6""}"
"39224","","survey-likert","6","291191","0.0-6.0","068","{""Q0"":""0"",""Q1"":""0"",""Q2"":""3"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2""}"
"10712","","survey-text","7","302911","0.0-7.0","068","{""Q0"":""Voice""}"
"5982","70","text","8","309911","0.0-8.0","068",""
"45987","","survey-likert","9","356915","0.0-9.0","068","{""Q0"":""4"",""Q1"":""3"",""Q2"":""6"",""Q3"":""2"",""Q4"":""3"",""Q5"":""6"",""Q6"":""5"",""Q7"":""5"",""Q8"":""2"",""Q9"":""4"",""Q10"":""4"",""Q11"":""5"",""Q12"":""0"",""Q13"":""5""}"
"53852","","survey-likert","10","411791","0.0-10.0","068","{""Q0"":""7"",""Q1"":""7"",""Q2"":""7""}"
"26360","","survey-likert","11","439175","0.0-11.0","068","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"12913","","survey-text","12","453094","0.0-12.0","068","{""Q0"":""18"",""Q1"":""Female""}"
"6197","","survey-likert","13","460295","0.0-13.0","068","{""Q0"":""1""}"
"6254","","survey-text","14","467557","0.0-14.0","068","{""Q0"":""None""}"
"3812","32","text","15","472389","0.0-15.0","068",""
