title,Condition,Track_ID,Valence
onMusic,Lyrics,1,Happy
owlAPussyCat,Lyrics,2,Happy
dancinInTheMoonlightC,Lyrics,3,Happy
takeYouAb,Lyrics,4,Happy
theCrucifixion,Lyrics,5,Sad
willowSong,Lyrics,6,Sad
everyTimeWeSayGoodbye,Lyrics,7,Sad
bambi,Lyrics,8,Sad
goognightMoon,Lyrics,9,Calm
silentMoon,Lyrics,10,Calm
dream,Lyrics,11,Calm
iWishYouLove,Lyrics,12,Calm
toThisWeveCome,Lyrics,13,AngryStressful
theCage,Lyrics,14,AngryStressful
thatsAll,Lyrics,15,AngryStressful
noMoreMissNice,Lyrics,16,AngryStressful
onMusic,Melody,17,Happy
owlAPussyCat,Melody,18,Happy
dancinInTheMoonlightC,Melody,19,Happy
takeYouAb,Melody,20,Happy
theCrucifixion,Melody,21,Sad
willowSong,Melody,22,Sad
everyTimeWeSayGoodbye,Melody,23,Sad
bambi,Melody,24,Sad
goognightMoon,Melody,25,Calm
silentMoon,Melody,26,Calm
dream,Melody,27,Calm
iWishYouLove,Melody,28,Calm
toThisWeveCome,Melody,29,AngryStressful
theCage,Melody,30,AngryStressful
thatsAll,Melody,31,AngryStressful
noMoreMissNice,Melody,32,AngryStressful
